"r";"nsd_id";"election_year";"start";"end";"cabinet_name";"last_name";"first_name";"party";"election_date";"cause";"reshuffle";"prime_minister";"gender";"education";"duration";"birth";"pre45_exp";"CabinetType";"structure";"From";"To";"cabinet_duration";"CabinetPartiesNor";"year_start";"year_end";"post";"resigcalls";"resigcalls_cum";"rc_cum_lag";"rc_opposition";"rc_paper";"rc_organization";"rc_party";"rc_expert";"rc_citizens";"rc_voteofconf";"parl_start";"parlTen_cum";"youthCen";"youthLoc";"minister_exp_cum_y_lag";"parlTen_dum";"start_year";"age";"age_cen";"pm_name";"education_dum";"dur_start";"dur_end";"leave";"event2";"jurisdiction";"rc_paper_dum";"rc_party_dum";"rc_organization_dum";"rc_opposition_dum";"timeint"
"17";48;1993;1993-10-01;1996-10-24;"Brundtland IV";"Berge";"Gunnar";"DNA";"1993-09-13";"Not dismissed";"0";0;"Male";"High school";1119;1940;0;"Minority";"Single-party";1993-10-01;1996-10-24;1119;"Ap";1993;1996;"Kommunalminister";0;2;2;0;0;0;0;0;0;0;"1993-10-01";7118;0;0;4,50650239561944;1;1993;53;3,83509833585477;"Brundtland";"Lower";0;1119;0;0;"Regional";0;0;0;0;3,8692598170354
"18";50;1949;1953-12-09;1954-01-10;"Torp I";"Bergersen";"Birger Martin";"DNA";"1949-10-10";"Not dismissed";"0";0;"Male";"Higher education";32;1891;0;"Majority";"Single-party";1951-11-19;1954-01-10;783;"Ap";1953;1954;"Kirke- og undervisningsminister";0;0;0;0;0;0;0;0;0;0;"1949-10-01";0;0;0;0;0;1953;62;12,8350983358548;"Torp";"Higher";751;783;0;0;"Education";0;0;0;0;2,09134846922167
"19";50;1953;1954-01-11;1955-01-21;"Torp II";"Bergersen";"Birger Martin";"DNA";"1953-10-12";"Not dismissed";"0";0;"Male";"Higher education";375;1891;0;"Majority";"Single-party";1954-01-11;1955-01-21;375;"Ap";1954;1955;"Kirke- og undervisningsminister";0;0;0;0;0;0;0;0;0;0;"1953-10-01";0;0;0;0,0876112251882272;0;1954;63;13,8350983358548;"Torp";"Higher";0;375;0;0;"Education";0;0;0;0;2,10244661575392
"20";50;1953;1955-01-22;1958-01-10;"Gerhardsen IV";"Bergersen";"Birger Martin";"DNA";"1953-10-12";"Not dismissed";"0";0;"Male";"Higher education";1084;1891;0;"Majority";"Single-party";1955-01-22;1958-01-10;1084;"Ap";1955;1958;"Kirke- og undervisningsminister";1;1;0;0;1;0;0;0;0;0;"1953-10-01";0;0;0;1,11430527036277;0;1955;64;14,8350983358548;"Gerhardsen";"Higher";0;1084;0;0;"Education";1;0;0;0;2,22089832411994
"21";50;1957;1958-01-11;1960-04-23;"Gerhardsen V";"Bergersen";"Birger Martin";"DNA";"1957-10-07";"Unknown";"0";0;"Male";"Higher education";833;1891;0;"Majority";"Single-party";1958-01-11;1961-09-30;1358;"Ap";1958;1960;"Kirke- og undervisningsminister";0;1;1;0;0;0;0;0;0;0;"1957-10-01";0;0;0;4,08213552361396;0;1958;67;17,8350983358548;"Gerhardsen";"Higher";0;833;0;1;"Education";0;0;0;0;2,50030201838505
"22";56;1989;1990-11-03;1993-09-30;"Brundtland III";"Berntsen";"Thorbjørn";"DNA";"1989-09-11";"Not dismissed";"0";0;"Male";"High school";1062;1935;0;"Minority";"Single-party";1990-11-03;1993-09-30;1062;"Ap";1990;1993;"Miljøvernminister";0;0;0;0;0;0;0;0;0;0;"1989-10-01";4781;0;0;0;1;1990;55;5,83509833585477;"Brundtland";"Lower";0;1062;0;0;"Environment";0;0;0;0;3,80658643546751
"23";56;1993;1993-10-01;1996-10-24;"Brundtland IV";"Berntsen";"Thorbjørn";"DNA";"1993-09-13";"Not dismissed";"0";0;"Male";"High school";1119;1935;0;"Minority";"Single-party";1993-10-01;1996-10-24;1119;"Ap";1993;1996;"Miljøvernminister";0;0;0;0;0;0;0;0;0;0;"1993-10-01";4781;0;0;2,90759753593429;1;1993;58;8,83509833585477;"Brundtland";"Lower";0;1119;0;0;"Environment";0;0;0;0;3,8692598170354
"24";56;1993;1996-10-25;1997-10-16;"Jagland I";"Berntsen";"Thorbjørn";"DNA";"1993-09-13";"Not dismissed";"0";0;"Male";"High school";356;1935;0;"Minority";"Single-party";1996-10-25;1997-10-16;356;"Ap";1996;1997;"Miljøvernminister";0;0;0;0;0;0;0;0;0;0;"1993-10-01";4781;0;0;5,97125256673511;1;1996;61;11,8350983358548;"Jagland";"Lower";0;356;0;0;"Environment";0;0;0;0;3,93130208304563
"25";57;1969;1971-03-17;1972-10-17;"Bratteli I";"Berrefjord";"Oddvar";"DNA";"1969-09-08";"Not dismissed";"0";0;"Male";"Higher education";580;1918;0;"Minority";"Single-party";1971-03-17;1972-10-17;580;"Ap";1971;1972;"Justisminister";0;0;0;0;0;0;0;0;0;0;"1969-10-01";0;0;0;0;0;1971;53;3,83509833585477;"Bratteli";"Higher";0;580;0;0;"Justice";0;0;0;0;3,23330914918197
"26";57;1977;1980-10-03;1981-02-03;"Nordli II";"Berrefjord";"Oddvar";"DNA";"1977-10-12";"Not dismissed";"0";0;"Male";"Higher education";123;1918;0;"Minority";"Single-party";1977-10-01;1981-02-03;1221;"Ap";1980;1981;"Justisminister";0;0;0;0;0;0;0;0;0;0;"1977-10-01";0;0;0;1,58795345653662;0;1980;62;12,8350983358548;"Nordli";"Higher";1098;1221;0;0;"Justice";0;0;0;0;3,55286135039919
"27";61;1989;1989-10-16;1990-11-02;"Syse I";"Bjartveit";"Eleonore";"H";"1989-09-11";"Not dismissed";"0";0;"Female";"Higher education";382;1924;0;"Minority";"Coalition";1989-10-16;1990-11-02;382;"H+KrF+Sp";1989;1990;"Kulturminister";0;0;0;0;0;0;0;0;0;0;"1989-10-01";1078;0;0;0;1;1989;65;15,8350983358548;"Syse";"Higher";0;382;0;0;"Culture";0;0;0;0;3,783006680756
"28";64;1953;1955-08-01;1958-01-10;"Gerhardsen IV";"Bjerkholt";"Aase Ingerid Nathalie";"DNA";"1953-10-12";"Not dismissed";"0";0;"Female";"High school";893;1915;0;"Majority";"Single-party";1955-01-22;1958-01-10;1084;"Ap";1955;1958;"Familie- og forbruksminister";0;0;0;0;0;0;0;0;0;0;"1953-10-01";0;0;0;0;0;1955;40;-9,16490166414523;"Gerhardsen";"Lower";191;1084;0;0;"Social";0;0;0;0;2,27609072131765
"29";64;1957;1958-01-11;1961-09-30;"Gerhardsen V";"Bjerkholt";"Aase Ingerid Nathalie";"DNA";"1957-10-07";"Not dismissed";"0";0;"Female";"High school";1358;1915;0;"Majority";"Single-party";1958-01-11;1961-09-30;1358;"Ap";1958;1961;"Familie- og forbruksminister";0;0;0;0;0;0;0;0;0;0;"1957-10-01";0;0;0;2,44490075290897;0;1958;43;-6,16490166414523;"Gerhardsen";"Lower";0;1358;0;0;"Social";0;0;0;0;2,50030201838505
"30";64;1961;1961-10-01;1963-08-27;"Gerhardsen VI";"Bjerkholt";"Aase Ingerid Nathalie";"DNA";"1961-09-11";"Not dismissed";"0";0;"Female";"High school";695;1915;0;"Minority";"Single-party";1961-10-01;1963-08-27;695;"Ap";1961;1963;"Familie- og forbruksminister";0;0;0;0;0;0;0;0;0;0;"1961-10-01";0;0;0;6,16290212183436;0;1961;46;-3,16490166414523;"Gerhardsen";"Lower";0;695;0;0;"Social";0;0;0;0;2,76675379921515
"31";64;1961;1963-09-25;1965-10-11;"Gerhardsen VII";"Bjerkholt";"Aase Ingerid Nathalie";"DNA";"1961-09-11";"Not dismissed";"0";0;"Female";"High school";747;1915;0;"Minority";"Single-party";1963-09-25;1965-10-11;747;"Ap";1963;1965;"Familie- og forbruksminister";0;0;0;0;0;0;0;0;0;0;"1961-10-01";0;0;0;8,06570841889117;0;1963;48;-1,16490166414523;"Gerhardsen";"Lower";0;747;0;0;"Social";0;0;0;0;2,88419254153021
"32";65;1957;1960-04-23;1961-09-30;"Gerhardsen V";"Bjerve";"Petter Jacob";"DNA";"1957-10-07";"Not dismissed";"0";0;"Male";"Higher education";525;1913;0;"Majority";"Single-party";1958-01-11;1961-09-30;1358;"Ap";1960;1961;"Finansminister";0;0;0;0;0;0;0;0;0;0;"1957-10-01";0;0;0;0;0;1960;47;-2,16490166414523;"Gerhardsen";"Higher";833;1358;0;0;"Finance";0;0;0;0;2,67185661501141
"33";65;1961;1961-10-01;1962-01-05;"Gerhardsen VI";"Bjerve";"Petter Jacob";"DNA";"1961-09-11";"Leave of absence";"0";0;"Male";"Higher education";96;1913;0;"Minority";"Single-party";1961-10-01;1963-08-27;695;"Ap";1961;1962;"Finansminister";0;0;0;0;0;0;0;0;0;0;"1961-10-01";0;0;0;1,43737166324435;0;1961;48;-1,16490166414523;"Gerhardsen";"Higher";0;96;1;0;"Finance";0;0;0;0;2,76675379921515
"34";65;1961;1962-02-19;1963-02-04;"Gerhardsen VI";"Bjerve";"Petter Jacob";"DNA";"1961-09-11";"Unknown";"0";0;"Male";"Higher education";350;1913;0;"Minority";"Single-party";1961-10-01;1963-08-27;695;"Ap";1962;1963;"Finansminister";0;0;0;0;0;0;0;0;0;0;"1961-10-01";0;0;0;1,70020533880904;0;1962;49;-0,164901664145233;"Gerhardsen";"Higher";141;491;0;1;"Finance";0;0;0;0;2,79073250101404
"35";74;1973;1973-10-16;1976-01-14;"Bratteli II";"Bolle";"Eivind";"DNA";"1973-10-10";"Not dismissed";"0";0;"Male";"Primary school";820;1923;0;"Minority";"Single-party";1973-10-16;1976-01-14;820;"Ap";1973;1976;"Fiskeriminister";0;0;0;0;0;0;0;0;0;0;"1973-10-01";16;0;0;0;1;1973;50;0,835098335854767;"Bratteli";"Lower";0;820;0;0;"Sea and fish";0;0;0;0;3,33034495495376
"36";74;1973;1976-01-15;1977-09-30;"Nordli I";"Bolle";"Eivind";"DNA";"1973-10-10";"Not dismissed";"0";0;"Male";"Primary school";624;1923;0;"Minority";"Single-party";1976-01-15;1977-09-30;624;"Ap";1976;1977;"Fiskeriminister";0;0;0;0;0;0;0;0;0;0;"1973-10-01";16;0;0;2,24503764544832;1;1976;53;3,83509833585477;"Nordli";"Lower";0;624;0;0;"Sea and fish";0;0;0;0;3,40770139567534
"37";74;1977;1977-10-01;1981-02-03;"Nordli II";"Bolle";"Eivind";"DNA";"1977-10-12";"Not dismissed";"0";0;"Male";"Primary school";1221;1923;0;"Minority";"Single-party";1977-10-01;1981-02-03;1221;"Ap";1977;1981;"Fiskeriminister";2;2;0;0;1;1;0;0;0;0;"1977-10-01";17;0;0;3,95345653661875;1;1977;54;4,83509833585477;"Nordli";"Lower";0;1221;0;0;"Sea and fish";1;0;1;0;3,46282269707221
"38";74;1977;1981-02-04;1981-10-13;"Brundtland I";"Bolle";"Eivind";"DNA";"1977-10-12";"Not dismissed";"0";0;"Male";"Primary school";251;1923;0;"Minority";"Single-party";1981-02-04;1981-10-13;251;"Ap";1981;1981;"Fiskeriminister";0;2;2;0;0;0;0;0;0;0;"1977-10-01";17;0;0;7,29637234770705;1;1981;58;8,83509833585477;"Brundtland";"Lower";0;251;0;0;"Sea and fish";0;0;0;0;3,56253834178789
"39";75;1981;1983-06-08;1985-09-30;"Willoch II";"Bondevik";"Kjell Magne";"KrF";"1981-10-14";"Not dismissed";"0";0;"Male";"Higher education";845;1947;0;"Majority";"Coalition";1983-06-08;1985-09-30;845;"H+KrF+Sp";1983;1985;"Kirke- og undervisningsminister";0;0;0;0;0;0;0;0;0;0;"1981-10-01";3538;1;0;0;1;1983;36;-13,1649016641452;"Willoch";"Higher";0;845;0;0;"Education";0;0;0;0;3,62675644813121
"40";75;1985;1985-10-01;1986-05-08;"Willoch III";"Bondevik";"Kjell Magne";"KrF";"1985-09-09";"Not dismissed";"0";0;"Male";"Higher education";219;1947;0;"Minority";"Coalition";1985-10-01;1986-05-08;219;"H+KrF+Sp";1985;1986;"Kirke- og undervisningsminister";0;0;0;0;0;0;0;0;0;0;"1985-10-01";4779;1;0;2,31348391512663;1;1985;38;-11,1649016641452;"Willoch";"Higher";0;219;0;0;"Education";0;0;0;0;3,68654956886893
"41";75;1989;1989-10-16;1990-11-02;"Syse I";"Bondevik";"Kjell Magne";"KrF";"1989-09-11";"Not dismissed";"0";0;"Male";"Higher education";382;1947;0;"Minority";"Coalition";1989-10-16;1990-11-02;382;"H+KrF+Sp";1989;1990;"Utenriksminister";0;0;0;0;0;0;0;0;0;0;"1989-10-01";5857;1;0;2,91307323750856;1;1989;42;-7,16490166414523;"Syse";"Higher";0;382;0;0;"Foreign affairs";0;0;0;0;3,783006680756
"42";75;1997;1997-10-17;1998-08-31;"Bondevik I";"Bondevik";"Kjell Magne";"KrF";"1997-09-15";"Leave of absence";"0";1;"Male";"Higher education";318;1947;0;"Minority";"Coalition";1997-10-17;2000-03-16;881;"KrF+Sp+V";1997;1998;"Statsminister";0;0;0;0;0;0;0;0;0;0;"1997-10-01";7897;1;0;3,95893223819302;1;1997;50;0,835098335854767;"Bondevik";"Higher";0;318;1;0;"Prime minister";0;0;0;0;3,95029555163302
"43";75;1997;1998-09-24;2000-03-16;"Bondevik I";"Bondevik";"Kjell Magne";"KrF";"1997-09-15";"Not dismissed";"0";1;"Male";"Higher education";539;1947;0;"Minority";"Coalition";1997-10-17;2000-03-16;881;"KrF+Sp+V";1998;2000;"Statsminister";2;2;0;1;0;0;0;0;0;1;"1997-10-01";7897;1;0;4,82956878850103;1;1998;51;1,83509833585477;"Bondevik";"Higher";342;881;0;0;"Prime minister";0;0;0;1;3,96815876557548
"44";75;2001;2001-10-19;2005-10-16;"Bondevik II";"Bondevik";"Kjell Magne";"KrF";"2001-09-10";"Not dismissed";"0";1;"Male";"Higher education";1458;1947;0;"Minority";"Coalition";2001-10-19;2005-10-16;1458;"H+KrF+V";2001;2005;"Statsminister";2;4;2;2;0;0;0;0;0;0;"2001-10-01";7916;1;0;6,30527036276523;1;2001;54;4,83509833585477;"Bondevik";"Higher";0;1458;0;0;"Prime minister";0;0;0;1;4,02456914154135
"45";76;1961;1963-08-28;1963-09-24;"Lyng I";"Bondevik";"Kjell";"KrF";"1961-09-11";"Not dismissed";"0";0;"Male";"Higher education";27;1901;0;"Minority";"Coalition";1963-08-28;1963-09-24;27;"H+Sp+KrF+V";1963;1963;"Sosialminister";0;0;0;0;0;0;0;0;0;0;"1961-10-01";5816;0;0;0;1;1963;62;12,8350983358548;"Lyng";"Higher";0;27;0;0;"Social";0;0;0;0;2,87989805640249
"46";76;1965;1965-10-12;1969-09-30;"Borten I";"Bondevik";"Kjell";"KrF";"1965-09-13";"Not dismissed";"0";0;"Male";"Higher education";1449;1901;0;"Majority";"Coalition";1965-10-12;1969-09-30;1449;"H+Sp+KrF+V";1965;1969;"Kirke- og undervisningsminister";5;5;0;4;1;0;0;0;0;0;"1965-10-01";5816;0;0;0,0739219712525667;1;1965;64;14,8350983358548;"Borten";"Higher";0;1449;0;0;"Education";1;0;0;1;2,99257877810457
"47";76;1969;1969-10-01;1971-03-16;"Borten II";"Bondevik";"Kjell";"KrF";"1969-09-08";"Not dismissed";"0";0;"Male";"Higher education";531;1901;0;"Majority";"Coalition";1969-10-01;1971-03-16;531;"H+Sp+KrF+V";1969;1971;"Kirke- og undervisningsminister";1;6;5;0;0;0;0;1;0;0;"1969-10-01";5816;0;0;4,04106776180698;1;1969;68;18,8350983358548;"Borten";"Higher";0;531;0;0;"Education";0;0;0;0;3,17416766703903
"48";79;1961;1963-08-28;1963-09-24;"Lyng I";"Borgen";"Hans";"Sp";"1961-09-11";"Not dismissed";"0";0;"Male";"Higher education";27;1908;0;"Minority";"Coalition";1963-08-28;1963-09-24;27;"H+Sp+KrF+V";1963;1963;"Landbruksminister";0;0;0;0;0;0;0;0;0;0;"1961-10-01";5816;0;0;0;1;1963;55;5,83509833585477;"Lyng";"Higher";0;27;0;0;"Agriculture";0;0;0;0;2,87989805640249
"49";80;1985;1986-05-09;1988-06-13;"Brundtland II";"Borgen";"Kjell";"DNA";"1985-09-09";"Not dismissed";"0";0;"Male";"Higher education";766;1939;0;"Minority";"Single-party";1986-05-09;1989-10-15;1255;"Ap";1986;1988;"Samferdselsminister";3;3;0;2;1;0;0;0;0;0;"1985-10-01";3142;0;1;0;1;1986;47;-2,16490166414523;"Brundtland";"Higher";0;766;0;0;"Transport";1;0;0;1;3,70153010232154
"50";80;1985;1988-06-13;1989-10-15;"Brundtland II";"Borgen";"Kjell";"DNA";"1985-09-09";"Not dismissed";"1";0;"Male";"Higher education";489;1939;0;"Minority";"Single-party";1986-05-09;1989-10-15;1255;"Ap";1988;1989;"Kommunalminister";1;4;3;1;0;0;0;0;0;0;"1985-10-01";3142;0;1;2,09719370294319;1;1988;49;-0,164901664145233;"Brundtland";"Higher";766;1255;0;0;"Regional";0;0;0;1;3,75200527354607
"51";80;1989;1990-11-03;1992-09-04;"Brundtland III";"Borgen";"Kjell";"DNA";"1989-09-11";"Unknown";"0";0;"Male";"Higher education";671;1939;0;"Minority";"Single-party";1990-11-03;1993-09-30;1062;"Ap";1990;1992;"Kommunalminister";0;4;4;0;0;0;0;0;0;0;"1989-10-01";3916;0;1;3,43600273785079;1;1990;51;1,83509833585477;"Brundtland";"Higher";0;671;0;1;"Regional";0;0;0;0;3,80658643546751
"52";81;1965;1965-10-12;1969-09-30;"Borten I";"Borten";"Per";"V";"1965-09-13";"Not dismissed";"0";1;"Male";"Higher education";1449;1913;0;"Majority";"Coalition";1965-10-12;1969-09-30;1449;"H+Sp+KrF+V";1965;1969;"Statsminister";1;1;0;1;0;0;0;0;0;0;"1965-10-01";5855;1;0;0;1;1965;52;2,83509833585477;"Borten";"Higher";0;1449;0;0;"Prime minister";0;0;0;1;2,99257877810457
"53";81;1969;1969-10-01;1971-03-16;"Borten II";"Borten";"Per";"V";"1969-09-08";"Not dismissed";"0";1;"Male";"Higher education";531;1913;0;"Majority";"Coalition";1969-10-01;1971-03-16;531;"H+Sp+KrF+V";1969;1971;"Statsminister";4;5;1;2;1;0;1;0;0;0;"1969-10-01";6783;1;0;3,96714579055441;1;1969;56;6,83509833585477;"Borten";"Higher";0;531;0;0;"Prime minister";1;1;0;1;3,17416766703903
"54";84;1949;1951-11-19;1954-01-10;"Torp I";"Bratteli";"Trygve Martin";"DNA";"1949-10-10";"Not dismissed";"0";0;"Male";"High school";783;1910;0;"Majority";"Single-party";1951-11-19;1954-01-10;783;"Ap";1951;1954;"Finansminister";0;0;0;0;0;0;0;0;0;0;"1949-10-01";677;0;1;0;1;1951;41;-8,16490166414523;"Torp";"Lower";0;783;0;0;"Finance";0;0;0;0;1,79835414918264
"55";84;1953;1954-01-11;1955-01-21;"Torp II";"Bratteli";"Trygve Martin";"DNA";"1953-10-12";"Not dismissed";"0";0;"Male";"High school";375;1910;0;"Majority";"Single-party";1954-01-11;1955-01-21;375;"Ap";1954;1955;"Finansminister";0;0;0;0;0;0;0;0;0;0;"1953-10-01";1383;0;1;2,14373716632444;1;1954;44;-5,16490166414523;"Torp";"Lower";0;375;0;0;"Finance";0;0;0;0;2,10244661575392
"56";84;1953;1956-12-28;1958-01-10;"Gerhardsen IV";"Bratteli";"Trygve Martin";"DNA";"1953-10-12";"Not dismissed";"0";0;"Male";"High school";378;1910;0;"Majority";"Single-party";1955-01-22;1958-01-10;1084;"Ap";1956;1958;"Finansminister";0;0;0;0;0;0;0;0;0;0;"1953-10-01";1383;0;1;3,17043121149897;1;1956;46;-3,16490166414523;"Gerhardsen";"Lower";706;1084;0;0;"Finance";0;0;0;0;2,41130750759955
